aircraft_id,registration,aircraft_type,manufacturer,seat_capacity,airline,created_at,updated_at
AC0060,PK-KUP04,Airbus A321,Airbus,220,Batik Air,2019-12-24 14:41:06,2019-12-24 14:41:06
AC0061,PK-EVF08,ATR 72-600,ATR,72,Batik Air,2020-08-20 18:15:46,2024-04-21 07:36:25
AC0062,PK-FJR91,Boeing 777-300ER,Boeing,396,Citilink,2019-08-26 17:10:14,2019-08-26 17:10:14
AC0063,PK-IZW66,Boeing 787-9,Boeing,296,Citilink,2021-11-23 16:38:37,2025-12-25 16:12:47
AC0064,PK-DQY99,Airbus A330-300,Airbus,335,AirAsia Indonesia,2022-04-23 08:36:00,2025-01-02 07:28:07
AC0065,PK-XDI46,Airbus A330-300,Airbus,335,AirAsia Indonesia,2019-02-12 19:06:00,2019-10-12 11:44:04
AC0066,PK-PLN07,Airbus A321,Airbus,220,Lion Air,2021-01-21 04:47:53,2021-01-21 04:47:53
AC0067,PK-RVT09,ATR 72-600,ATR,72,Lion Air,2021-05-18 09:38:34,2024-10-01 17:01:27
AC0068,PK-NVQ82,Boeing 737 MAX 8,Boeing,172,Citilink,2021-08-09 20:24:34,2025-02-26 02:31:01
AC0069,PK-WQF19,Boeing 737-800,Boeing,162,Lion Air,2021-09-30 17:55:10,2022-06-23 11:00:03
AC0070,PK-QMB14,Boeing 737-800,Boeing,162,Citilink,2022-06-26 01:42:43,2024-11-21 01:31:31
AC0071,PK-ZVH56,Boeing 777-300ER,Boeing,396,Garuda Indonesia,2019-08-08 03:19:46,2021-09-07 06:08:29
AC0072,PK-TFX42,Airbus A321,Airbus,220,Garuda Indonesia,2019-08-18 01:19:26,2026-02-20 13:09:09
AC0073,PK-RNW53,Boeing 787-9,Boeing,296,Batik Air,2021-08-12 04:26:31,2021-08-12 04:26:31
AC0074,PK-SGV23,Airbus A321,Airbus,220,Garuda Indonesia,2019-03-05 19:30:01,2023-08-14 06:10:21
AC0075,PK-LJF86,Airbus A330-300,Airbus,335,Batik Air,2019-02-08 20:10:00,2019-05-27 07:53:08
AC0076,PK-BNJ76,Boeing 737-800,Boeing,162,Lion Air,2020-05-20 21:04:40,2026-03-06 12:31:46
AC0077,PK-LNF77,Airbus A330-300,Airbus,335,Garuda Indonesia,2019-03-27 07:45:12,2019-03-27 07:45:12
AC0078,PK-CSB18,Boeing 737-800,Boeing,162,AirAsia Indonesia,2022-02-20 02:27:49,2022-02-20 02:27:49
AC0079,PK-NLR13,Airbus A320,Airbus,180,Lion Air,2019-12-03 09:52:17,2026-01-16 05:08:19
AC0080,PK-FRM06,Airbus A320,Airbus,180,Garuda Indonesia,2022-02-10 04:21:23,2025-11-07 12:44:50
