hotel_id,hotel_name,brand,market_segment,city,star_rating,total_rooms,created_at,updated_at
HTL0040,Aston Sydney,Aston,Midscale,Sydney,4,50,2021-10-08 00:16:35,2021-10-08 00:16:35
HTL0041,Favehotel Makassar,Favehotel,Economy,Makassar,3,200,2022-07-21 00:04:09,2022-07-21 00:04:09
HTL0042,Ibis Styles Denpasar,Ibis Styles,Economy,Denpasar,3,50,2019-10-06 10:04:17,2020-04-17 06:25:38
HTL0043,Grand Hyatt Bandung,Grand Hyatt,Luxury,Bandung,5,80,2021-11-13 21:02:00,2021-11-13 21:02:00
HTL0044,Amaris Jakarta,Amaris,Economy,Jakarta,2,50,2022-11-25 04:22:57,2024-03-09 21:41:57
HTL0045,Amaris Denpasar,Amaris,Economy,Denpasar,3,50,2020-07-12 23:46:31,2020-07-12 23:46:31
HTL0046,Favehotel Dubai,Favehotel,Economy,Dubai,4,120,2020-02-10 20:05:14,2022-01-21 01:46:20
HTL0047,Favehotel Surabaya,Favehotel,Economy,Surabaya,2,80,2022-10-20 04:26:46,2022-10-20 04:26:46
HTL0048,Hilton Kuala Lumpur,Hilton,Premium,Kuala Lumpur,5,80,2019-06-27 21:43:53,2019-06-27 21:43:53
HTL0049,Aston London,Aston,Midscale,London,3,50,2020-04-19 05:17:17,2022-02-07 21:09:34
HTL0050,Aston Sydney,Aston,Midscale,Sydney,2,50,2022-07-04 13:05:30,2024-03-24 13:11:15
