vehicle_id,plate,type_code,type_name,category,brand,model,seat_capacity,rate_usd_day,prod_year,status,created_at,updated_at
VHC00032,B 9575 MCH,VAN_STD,Minivan Standard,Van,Toyota,HiAce,12,95.68,2021,Active,2020-04-09 01:42:26,2020-04-09 01:42:26
VHC00033,B 3735 GSW,SDN_ECO,Sedan Economy,Sedan,Toyota,Vios,4,45.35,2020,Active,2023-06-07 03:06:44,2023-06-07 03:06:44
VHC00034,B 7511 NZG,SUV_LUX,SUV Luxury,SUV,Toyota,Land Cruiser,5,161.83,2018,Active,2023-01-20 03:32:54,2025-02-04 10:21:14
VHC00035,B 2651 NRN,MPV_PRE,MPV Premium,MPV,Toyota,Alphard,7,130.56,2022,Inactive,2020-11-22 13:38:16,2020-11-22 13:38:16
VHC00036,B 2220 EVR,SDN_ECO,Sedan Economy,Sedan,Toyota,Vios,4,38.21,2018,Active,2022-08-30 03:09:39,2026-04-08 16:18:15
VHC00037,B 2997 YME,SDN_MID,Sedan Mid-Size,Sedan,Honda,Civic,4,63.2,2021,Maintenance,2023-05-22 17:10:18,2024-07-03 10:39:09
VHC00038,B 8200 XDT,VAN_STD,Minivan Standard,Van,Toyota,HiAce,12,97.25,2023,Active,2020-11-11 00:27:59,2020-11-11 00:27:59
VHC00039,B 6330 JGK,VAN_STD,Minivan Standard,Van,Toyota,HiAce,12,95.79,2019,Active,2019-06-23 19:54:50,2021-05-19 02:17:40
VHC00040,B 9548 PEB,ELC_STD,Electric Sedan,Electric,Hyundai,Ioniq 6,4,85.58,2023,Maintenance,2019-10-27 10:43:55,2025-02-19 15:20:06
VHC00041,B 5798 PTE,MPV_STD,MPV Standard,MPV,Toyota,Avanza,7,44.78,2024,Inactive,2019-09-26 20:41:49,2019-09-26 20:41:49
VHC00042,B 8807 FWA,SDN_MID,Sedan Mid-Size,Sedan,Honda,Civic,4,55.53,2024,Active,2019-10-13 13:56:59,2021-12-18 21:55:57
VHC00043,B 2227 WDU,SDN_ECO,Sedan Economy,Sedan,Toyota,Vios,4,35.03,2020,Active,2020-08-22 13:16:26,2024-04-18 11:44:35
VHC00044,B 8887 DUB,MPV_STD,MPV Standard,MPV,Toyota,Avanza,7,36.97,2023,Active,2023-02-24 22:27:49,2025-09-19 07:55:30
VHC00045,B 3401 TRU,VAN_STD,Minivan Standard,Van,Toyota,HiAce,12,98.47,2019,Active,2021-10-24 08:38:20,2021-10-24 08:38:20
VHC00046,B 1759 TWT,SDN_ECO,Sedan Economy,Sedan,Toyota,Vios,4,43.72,2018,Active,2023-05-10 14:34:09,2023-05-10 14:34:09
VHC00047,B 4788 STH,MPV_STD,MPV Standard,MPV,Toyota,Avanza,7,38.76,2022,Active,2021-08-27 04:38:41,2022-04-30 22:08:22
VHC00048,B 4837 EPD,ELC_STD,Electric Sedan,Electric,Hyundai,Ioniq 6,4,84.96,2019,Active,2019-08-06 03:42:53,2020-03-25 10:42:53
VHC00049,B 5136 CGY,SDN_ECO,Sedan Economy,Sedan,Toyota,Vios,4,42.31,2024,Maintenance,2021-11-05 06:28:02,2022-01-01 21:42:49
VHC00050,B 1252 JER,SDN_MID,Sedan Mid-Size,Sedan,Honda,Civic,4,53.86,2022,Active,2022-06-08 15:20:54,2025-10-31 20:03:03
VHC00051,B 1672 YHF,SUV_STD,SUV Standard,SUV,Honda,CR-V,5,70.26,2019,Active,2021-12-28 21:14:26,2024-11-01 21:12:48
VHC00052,B 8656 GML,SUV_STD,SUV Standard,SUV,Honda,CR-V,5,82.49,2021,Active,2020-02-19 18:24:32,2021-09-02 12:47:14
VHC00053,B 5058 RRZ,ELC_STD,Electric Sedan,Electric,Hyundai,Ioniq 6,4,71.85,2018,Active,2022-10-06 11:52:47,2022-10-06 11:52:47
VHC00054,B 6589 KTC,SUV_STD,SUV Standard,SUV,Honda,CR-V,5,78.88,2023,Active,2023-05-11 10:19:15,2023-05-11 10:19:15
VHC00055,B 3114 JBF,SUV_LUX,SUV Luxury,SUV,Toyota,Land Cruiser,5,143.58,2023,Maintenance,2019-10-09 21:37:10,2022-03-26 20:52:56
VHC00056,B 2646 EUT,VAN_STD,Minivan Standard,Van,Toyota,HiAce,12,100.32,2019,Active,2019-11-30 23:22:48,2022-06-03 22:16:17
VHC00057,B 5140 ZFP,VAN_STD,Minivan Standard,Van,Toyota,HiAce,12,82.85,2023,Active,2020-02-05 05:07:50,2021-02-16 15:34:38
VHC00058,B 0141 WHC,SUV_LUX,SUV Luxury,SUV,Toyota,Land Cruiser,5,168.24,2020,Active,2021-06-21 20:41:33,2023-08-17 03:04:09
VHC00059,B 1705 UPJ,SUV_STD,SUV Standard,SUV,Honda,CR-V,5,71.82,2024,Active,2019-05-12 23:09:39,2019-05-12 23:09:39
VHC00060,B 2083 DFJ,SDN_MID,Sedan Mid-Size,Sedan,Honda,Civic,4,46.68,2024,Active,2020-07-10 12:33:26,2020-07-10 12:33:26
VHC00061,B 3448 GKR,MPV_STD,MPV Standard,MPV,Toyota,Avanza,7,49.12,2021,Active,2022-10-16 04:40:20,2024-03-28 09:46:46
VHC00062,B 2450 JBA,ELC_STD,Electric Sedan,Electric,Hyundai,Ioniq 6,4,82.61,2024,Active,2019-07-03 18:28:10,2019-07-03 18:28:10
VHC00063,B 8838 SHR,VAN_STD,Minivan Standard,Van,Toyota,HiAce,12,100.65,2024,Active,2020-07-04 04:14:54,2021-07-01 19:28:59
VHC00064,B 6786 TKZ,MPV_PRE,MPV Premium,MPV,Toyota,Alphard,7,111.2,2022,Active,2019-09-07 15:17:33,2023-06-27 15:21:53
VHC00065,B 5326 MBE,SUV_STD,SUV Standard,SUV,Honda,CR-V,5,74.66,2018,Inactive,2019-03-30 08:32:11,2021-11-30 21:36:13
VHC00066,B 4620 CYN,SUV_STD,SUV Standard,SUV,Honda,CR-V,5,59.81,2022,Active,2020-02-18 07:30:59,2023-07-21 19:48:03
VHC00067,B 4934 BRF,SUV_STD,SUV Standard,SUV,Honda,CR-V,5,70.09,2020,Active,2022-10-08 06:42:06,2022-10-08 06:42:06
VHC00068,B 7045 LUL,SUV_STD,SUV Standard,SUV,Honda,CR-V,5,59.46,2019,Active,2019-02-07 12:03:30,2025-04-13 22:38:55
VHC00069,B 4352 ALN,MPV_PRE,MPV Premium,MPV,Toyota,Alphard,7,152.86,2023,Active,2019-08-06 18:00:58,2024-06-10 04:16:08
VHC00070,B 4833 TAC,VAN_STD,Minivan Standard,Van,Toyota,HiAce,12,103.05,2020,Active,2020-09-22 02:40:05,2023-04-20 07:57:13
VHC00071,B 1269 BNA,MPV_STD,MPV Standard,MPV,Toyota,Avanza,7,42.48,2019,Active,2020-12-12 22:45:23,2025-08-22 17:53:55
VHC00072,B 4319 TEY,SUV_STD,SUV Standard,SUV,Honda,CR-V,5,69.7,2024,Active,2019-04-24 17:50:11,2019-04-24 17:50:11
VHC00073,B 9657 EKW,SUV_STD,SUV Standard,SUV,Honda,CR-V,5,74.07,2021,Active,2022-11-19 02:43:25,2022-11-19 02:43:25
VHC00074,B 0868 ETT,SUV_STD,SUV Standard,SUV,Honda,CR-V,5,70.09,2022,Active,2020-06-23 07:20:58,2024-03-01 20:03:38
VHC00075,B 0931 ABE,SDN_ECO,Sedan Economy,Sedan,Toyota,Vios,4,45.02,2019,Active,2020-09-25 15:13:37,2020-09-25 15:13:37
VHC00076,B 1678 BXA,VAN_STD,Minivan Standard,Van,Toyota,HiAce,12,74.68,2019,Active,2020-07-25 16:48:46,2022-10-26 10:23:17
VHC00077,B 8374 ARC,SDN_ECO,Sedan Economy,Sedan,Toyota,Vios,4,32.77,2022,Active,2019-07-03 22:38:04,2019-07-03 22:38:04
VHC00078,B 8818 CSJ,SDN_ECO,Sedan Economy,Sedan,Toyota,Vios,4,35.7,2022,Maintenance,2022-07-13 05:40:37,2022-07-13 05:40:37
VHC00079,B 4333 XRS,MPV_STD,MPV Standard,MPV,Toyota,Avanza,7,46.52,2021,Active,2023-01-06 05:48:31,2026-05-11 11:09:13
VHC00080,B 7409 XXG,ELC_STD,Electric Sedan,Electric,Hyundai,Ioniq 6,4,67.18,2018,Active,2023-01-23 14:12:56,2023-11-15 09:07:11
